                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8557,                 6.0291,                 3.1068,                 0.0093,                0.67147,                0.01298,                0.00401,                 2.3517,                 3.5118,                 1.9049,             5.9624e-05,             5.9624e-05,             5.9624e-05
                      2,                 2.2014,                 3.7731,                 1.7422,                0.05661,                0.16927,                0.05198,                0.02731,                 1.6067,                 2.8033,                 1.3607,             0.00011339,             0.00011339,             0.00011339
                      3,                 1.7058,                 3.0021,                  1.383,                0.13365,                0.28594,                0.13829,                0.08418,                 1.3054,                 2.3667,                 1.1597,             0.00016124,             0.00016124,             0.00016124
                      4,                  1.533,                  2.598,                 1.2568,                0.19701,                0.47534,                0.23481,                0.14864,                 1.2591,                 2.0513,                 1.1277,             0.00015242,             0.00015242,             0.00015242
                      5,                 1.4723,                 2.3454,                  1.214,                0.28641,                0.58447,                0.35476,                0.23888,                 1.1493,                 1.7738,                 1.0688,             0.00015242,             0.00015242,             0.00015242
                      6,                 1.4392,                 2.1189,                 1.1957,                0.39306,                0.67089,                0.48776,                0.32398,                 1.2074,                 1.5302,                 1.0892,             0.00014356,             0.00014356,             0.00014356
                      7,                 1.4127,                 1.9228,                 1.1774,                0.46918,                0.69978,                0.58558,                0.39363,                 1.1684,                 1.3601,                 1.0641,              0.0001347,              0.0001347,              0.0001347
                      8,                 1.3918,                 1.7782,                 1.1647,                0.56349,                0.75598,                0.68136,                0.44692,                 1.2592,                  1.225,                 1.0982,             0.00012584,             0.00012584,             0.00012584
                      9,                 1.3781,                 1.6592,                 1.1571,                0.63841,                0.78125,                0.75554,                 0.5127,                 1.1798,                 1.1076,                 1.0707,             0.00011698,             0.00011698,             0.00011698
                     10,                 1.3643,                 1.5679,                 1.1509,                0.69957,                0.80834,                0.82346,                0.56705,                 1.1583,                 1.0118,                 1.0588,             0.00010812,             0.00010812,             0.00010812
                     11,                 1.3057,                 1.2903,                 1.1966,                0.78362,                0.83171,                0.87918,                0.60411,                 1.1542,                0.91317,                 1.0566,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     12,                 1.2946,                 1.1911,                 1.1937,                0.83904,                0.84754,                0.91576,                0.62952,                 1.1625,                  0.843,                 1.0521,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     13,                 1.2884,                 1.1187,                 1.1853,                0.86851,                0.87431,                0.93866,                0.64263,                 1.1735,                0.79331,                 1.0587,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     14,                  1.284,                 1.0645,                 1.1827,                0.89124,                 0.8931,                0.95616,                0.65465,                 1.1774,                0.74741,                  1.055,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     15,                 1.2801,                 1.0205,                  1.182,                0.91106,                0.90443,                0.96475,                0.65902,                 1.1812,                0.72273,                  1.055,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     16,                 1.2723,                0.97653,                 1.1793,                 0.9218,                0.90964,                0.97007,                0.67251,                 1.1496,                0.69495,                 1.0479,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     17,                 1.2663,                0.94335,                 1.1746,                0.93072,                0.92018,                0.97413,                0.67917,                 1.1422,                0.67577,                 1.0437,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     18,                 1.2611,                0.91849,                 1.1701,                0.93427,                0.92917,                0.97723,                0.69061,                 1.1028,                0.65374,                 1.0309,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     19,                 1.2533,                0.89656,                 1.1689,                0.93939,                0.92857,                0.97806,                0.69601,                 1.0925,                0.64528,                 1.0284,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     20,                 1.2515,                0.88015,                 1.1672,                0.94113,                0.93584,                0.98037,                0.70294,                  1.073,                 0.6318,                 1.0213,             1.9511e-05,             1.9511e-05,             1.9511e-05
